Dataset	Cell_type	NGENES	BETA	BETA_STD	SE	P	P.adj.pds	P.adj
DropViz_SN_level2	Endothelial_Tip_Dcn_Ifitm1.14_2	15002	-0.0076499	-0.021477	0.0038938	0.97526	1	1
DropViz_SN_level2	Endothelial_Tip_Dcn_Mgp.14_1	15002	-0.009639	-0.027267	0.0040413	0.99146	1	1
DropViz_SN_level2	Mural_Rgs5Acta2_Kcnj8.13_2	15002	-0.0076906	-0.023814	0.0030328	0.99439	1	1
DropViz_SN_level2	Endothelial_Stalk_Flt1_Gkn3.12_2	15002	-0.0098372	-0.029085	0.0038432	0.99476	1	1
DropViz_SN_level2	Endothelial_Stalk_Flt1_Vwf.12_4	15002	-0.012218	-0.033784	0.0046155	0.99594	1	1
DropViz_SN_level2	Endothelial_Stalk_Flt1_Car4.12_3	15002	-0.013401	-0.03655	0.0048666	0.99705	1	1
DropViz_SN_level2	Mural_Rgs5Acta2_Fos.13_5	15002	-0.010761	-0.031083	0.0037124	0.99812	1	1
DropViz_SN_level2	Endothelial_Tip_Dcn_Alcam.14_3	15002	-0.0080445	-0.023892	0.0027376	0.99835	1	1
DropViz_SN_level2	Mural_Rgs5Acta2_Cd9.13_3	15002	-0.014169	-0.038243	0.0047665	0.99852	1	1
DropViz_SN_level2	Mural_Rgs5Acta2_Cbr2.13_4	15002	-0.013346	-0.037402	0.0041107	0.99941	1	1
DropViz_SN_level2	Endothelial_Stalk_Flt1_Cdkn1c.12_1	15002	-0.016685	-0.045446	0.0048085	0.99974	1	1
DropViz_SN_level2	Mural_Rgs5Acta2_Rgs5.13_1	15002	-0.01709	-0.047113	0.0046238	0.99989	1	1
DropViz_PC_level2	Neuron_Sc17a7_Rorb-BC006965.2_9	15002	0.050242	0.13875	0.01099	2.44e-06	0.00022692	0.0013786
DropViz_PC_level2	Neuron_Sc17a7_Fermt1.2_12	15002	0.04382	0.1207	0.010069	6.788e-06	0.000631284	0.00383522
DropViz_PC_level2	Neuron_Slc17a7-Slc17a6_Rorb-Pcdh20.2_10	15002	0.046873	0.12941	0.011064	1.1417e-05	0.001061781	0.006450605
DropViz_PC_level2	Neuron_Sc17a7_Rorb-Gpr83.2_11	15002	0.047752	0.13146	0.011554	1.8e-05	0.001674	0.01017
DropViz_PC_level2	Neuron_Slc17a7-Slc17a6_Calb1-Rorb-Il1rapl2.2_13	15002	0.046817	0.12889	0.011864	3.9888e-05	0.003709584	0.02253672
DropViz_PC_level2	Neuron_Slc17a7_Syt6-Nefm.1_8	15002	0.040203	0.11143	0.010846	0.00010542	0.00980406	0.0595623
DropViz_PC_level2	Neuron_Sc17a7_Sema3e-Onecut2.2_18	15002	0.039541	0.10921	0.010762	0.00011979	0.01114047	0.06768135
DropViz_PC_level2	Neuron_Slc17a7_Syt6-Sla.1_4	15002	0.040087	0.11111	0.011028	0.00013957	0.01298001	0.07885705
DropViz_PC_level2	Neuron_Sc17a7_Calb1-Lpl.2_5	15002	0.039554	0.10821	0.010913	0.00014518	0.01350174	0.0820267
DropViz_PC_level2	Neuron_Sc17a7_Calb1-Ddit4l.2_1	15002	0.037328	0.10223	0.010681	0.00023781	0.02211633	0.13436265
DropViz_PC_level2	Neuron_Slc17a7_Syt6-Fos.1_9	15002	0.033851	0.094612	0.010113	0.0004089	0.0380277	0.2310285
DropViz_PC_level2	Neuron_Slc17a7-Slc17a6_Tshz2.2_14	15002	0.039566	0.10903	0.011862	0.00042676	0.03968868	0.2411194
DropViz_PC_level2	Neuron_Sc17a7_Calb1-Fos.2_4	15002	0.032051	0.088442	0.0096821	0.00046717	0.04344681	0.26395105
DropViz_PC_level2	Neuron_Sc17a7_Calb1-Tshz2.2_2	15002	0.036598	0.10117	0.011252	0.0005731	0.0532983	0.3238015
DropViz_PC_level2	Neuron_Sc17a7_Calb1-Lpl-Penk.2_7	15002	0.031391	0.08638	0.0096884	0.00059899	0.05570607	0.33842935
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Tcerg1l.3_4	15002	0.033699	0.093296	0.010652	0.00078077	0.07261161	0.44113505
DropViz_PC_level2	Neuron_Gad1Gad2_Pvalb-Nefm.5_2	15002	0.025271	0.068979	0.0080211	0.0008165	0.0759345	0.4613225
DropViz_PC_level2	Neuron_Slc17a7_Syt6-Tshz2-Nrep.1_3	15002	0.031898	0.08889	0.010253	0.00093384	0.08684712	0.5276196
DropViz_PC_level2	Neuron_Sc17a7_Sema3e-Nnat.2_17	15002	0.035352	0.097434	0.011517	0.001074	0.099882	0.60681
DropViz_PC_level2	Neuron_Slc17a7_Syt6-Tox.1_7	15002	0.031628	0.088412	0.010521	0.0013254	0.1232622	0.748851
DropViz_PC_level2	Neuron_Sc17a7_Calb1-Otof.2_6	15002	0.02931	0.080143	0.01009	0.0018403	0.1711479	1
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Cbln1.3_1	15002	0.026772	0.074442	0.00948	0.0023742	0.2208006	1
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Npnt.3_10	15002	0.025665	0.071683	0.0093216	0.0029533	0.2746569	1
DropViz_PC_level2	Neuron_Slc17a7_Syt6-Nnat.1_5	15002	0.022494	0.063947	0.0081781	0.0029793	0.2770749	1
DropViz_PC_level2	Neuron_Gad1Gad2-Th_Nr4a2.5_4	15002	0.011561	0.035075	0.0045143	0.0052259	0.4860087	1
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Dditl.3_2	15002	0.023532	0.065972	0.0092487	0.0054789	0.5095377	1
DropViz_PC_level2	Neuron_Sc17a7_Oprk1.2_15	15002	0.020713	0.057793	0.0083293	0.0064515	0.5999895	1
DropViz_PC_level2	Neuron_Sc17a7_Crym.2_16	15002	0.026038	0.071238	0.010517	0.0066529	0.6187197	1
DropViz_PC_level2	Neuron_Slc17a7_Syt6-Slc24a2.1_6	15002	0.014384	0.041633	0.0059923	0.0081958	0.7622094	1
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Pvalb.3_9	15002	0.021728	0.060209	0.009061	0.0082502	0.7672686	1
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-C1ql2.3_3	15002	0.022457	0.062384	0.0097886	0.010896	1	1
