Dataset	Cell_type	NGENES	BETA	BETA_STD	SE	P	P.adj.pds	P.adj
62_Siletti_Hippocampus.HiH.CA1-3_Human_2022_level2	Committed_oligodendrocyte_precursor	16866	0.016409	0.019466	0.010643	0.061577	1	1
62_Siletti_Hippocampus.HiH.CA1-3_Human_2022_level2	Miscellaneous	16866	0.025515	0.03495	0.016849	0.064979	1	1
62_Siletti_Hippocampus.HiH.CA1-3_Human_2022_level2	Upper_layer_intratelencephalic	16866	0.012977	0.0307	0.010397	0.106	1	1
62_Siletti_Hippocampus.HiH.CA1-3_Human_2022_level2	Amygdala_excitatory	16866	0.016827	0.030218	0.013518	0.10661	1	1
62_Siletti_Hippocampus.HiH.CA1-3_Human_2022_level2	Eccentric_medium_spiny_neuron	16866	0.010979	0.023213	0.0092384	0.11735	1	1
62_Siletti_Hippocampus.HiH.CA1-3_Human_2022_level2	Oligodendrocyte	16866	0.0051203	0.0054308	0.0095615	0.29615	1	1
62_Siletti_Hippocampus.HiH.CA1-3_Human_2022_level2	Medium_spiny_neuron	16866	0.001361	0.0041329	0.0036785	0.3557	1	1
62_Siletti_Hippocampus.HiH.CA1-3_Human_2022_level2	LAMP5_LHX6_and_Chandelier	16866	0.00379	0.0072054	0.010973	0.36491	1	1
62_Siletti_Hippocampus.HiH.CA1-3_Human_2022_level2	Hippocampal_CA4	16866	0.0016095	0.0037612	0.0067522	0.4058	1	1
62_Siletti_Hippocampus.HiH.CA1-3_Human_2022_level2	Oligodendrocyte_precursor	16866	0.0026332	0.0030813	0.011049	0.40582	1	1
62_Siletti_Hippocampus.HiH.CA1-3_Human_2022_level2	CGE_interneuron	16866	0.0024001	0.0041622	0.013506	0.42948	1	1
62_Siletti_Hippocampus.HiH.CA1-3_Human_2022_level2	Hippocampal_dentate_gyrus	16866	0.0016316	0.0039231	0.0092268	0.42982	1	1
62_Siletti_Hippocampus.HiH.CA1-3_Human_2022_level2	Deep_layer_intratelencephalic	16866	0.00066937	0.0015073	0.01224	0.47819	1	1
62_Siletti_Hippocampus.HiH.CA1-3_Human_2022_level2	Astrocyte	16866	-0.00079391	-0.00086525	0.010082	0.53138	1	1
62_Siletti_Hippocampus.HiH.CA1-3_Human_2022_level2	MGE_interneuron	16866	-0.0016027	-0.0031191	0.012492	0.55104	1	1
62_Siletti_Hippocampus.HiH.CA1-3_Human_2022_level2	Deep_layer_near_projecting	16866	-0.0019771	-0.0049544	0.007022	0.61086	1	1
62_Siletti_Hippocampus.HiH.CA1-3_Human_2022_level2	Hippocampal_CA1_3	16866	-0.003632	-0.007912	0.011226	0.62685	1	1
62_Siletti_Hippocampus.HiH.CA1-3_Human_2022_level2	Ependymal	16866	-0.002554	-0.0042108	0.0059983	0.66486	1	1
62_Siletti_Hippocampus.HiH.CA1-3_Human_2022_level2	Splatter	16866	-0.0075795	-0.013412	0.0148	0.69572	1	1
62_Siletti_Hippocampus.HiH.CA1-3_Human_2022_level2	Deep_layer_corticothalamic_and_6b	16866	-0.006902	-0.014342	0.012323	0.71228	1	1
62_Siletti_Hippocampus.HiH.CA1-3_Human_2022_level2	Vascular	16866	-0.012131	-0.014861	0.0079191	0.93721	1	1
62_Siletti_Hippocampus.HiH.CA1-3_Human_2022_level2	Microglia	16866	-0.018458	-0.017296	0.0098338	0.96973	1	1
62_Siletti_Hippocampus.HiH.CA1-3_Human_2022_level2	Fibroblast	16866	-0.038958	-0.037091	0.010682	0.99987	1	1
63_Siletti_Hippocampus.HiH.CA1-CA3_Human_2022_level2	Upper_layer_intratelencephalic	16853	0.019411	0.039703	0.0092542	0.017979	0.35958	1
63_Siletti_Hippocampus.HiH.CA1-CA3_Human_2022_level2	Hippocampal_dentate_gyrus	16853	0.013737	0.029294	0.0097418	0.079264	1	1
63_Siletti_Hippocampus.HiH.CA1-CA3_Human_2022_level2	Committed_oligodendrocyte_precursor	16853	0.010785	0.014338	0.0091701	0.11978	1	1
63_Siletti_Hippocampus.HiH.CA1-CA3_Human_2022_level2	Hippocampal_CA1_3	16853	0.0093012	0.022059	0.0085563	0.13852	1	1
63_Siletti_Hippocampus.HiH.CA1-CA3_Human_2022_level2	CGE_interneuron	16853	0.013137	0.026319	0.012196	0.14072	1	1
63_Siletti_Hippocampus.HiH.CA1-CA3_Human_2022_level2	LAMP5_LHX6_and_Chandelier	16853	0.0088353	0.019257	0.0093446	0.17221	1	1
63_Siletti_Hippocampus.HiH.CA1-CA3_Human_2022_level2	Miscellaneous	16853	0.0087012	0.01455	0.010716	0.20841	1	1
63_Siletti_Hippocampus.HiH.CA1-CA3_Human_2022_level2	MGE_interneuron	16853	0.0081987	0.017502	0.010824	0.22439	1	1
63_Siletti_Hippocampus.HiH.CA1-CA3_Human_2022_level2	Ependymal	16853	0.0036966	0.0061413	0.0061301	0.27325	1	1
63_Siletti_Hippocampus.HiH.CA1-CA3_Human_2022_level2	Oligodendrocyte	16853	0.0048751	0.0065087	0.0082266	0.27673	1	1
63_Siletti_Hippocampus.HiH.CA1-CA3_Human_2022_level2	Oligodendrocyte_precursor	16853	0.0043829	0.0067839	0.0090922	0.31489	1	1
63_Siletti_Hippocampus.HiH.CA1-CA3_Human_2022_level2	Astrocyte	16853	0.001989	0.0029695	0.0079977	0.4018	1	1
63_Siletti_Hippocampus.HiH.CA1-CA3_Human_2022_level2	Deep_layer_intratelencephalic	16853	0.0011181	0.0029071	0.005495	0.41939	1	1
63_Siletti_Hippocampus.HiH.CA1-CA3_Human_2022_level2	Hippocampal_CA4	16853	-0.0023145	-0.0054037	0.0089892	0.60159	1	1
63_Siletti_Hippocampus.HiH.CA1-CA3_Human_2022_level2	Splatter	16853	-0.0041046	-0.0080191	0.010836	0.64758	1	1
63_Siletti_Hippocampus.HiH.CA1-CA3_Human_2022_level2	Deep_layer_corticothalamic_and_6b	16853	-0.0042382	-0.0097282	0.0092841	0.67598	1	1
63_Siletti_Hippocampus.HiH.CA1-CA3_Human_2022_level2	Upper_rhombic_lip	16853	-0.0063055	-0.0112	0.0050396	0.89456	1	1
63_Siletti_Hippocampus.HiH.CA1-CA3_Human_2022_level2	Vascular	16853	-0.015069	-0.02004	0.007884	0.97201	1	1
63_Siletti_Hippocampus.HiH.CA1-CA3_Human_2022_level2	Microglia	16853	-0.016482	-0.019341	0.0085044	0.97368	1	1
63_Siletti_Hippocampus.HiH.CA1-CA3_Human_2022_level2	Fibroblast	16853	-0.03069	-0.041184	0.0076575	0.99997	1	1
64_Siletti_Hippocampus.HiH.DG-CA4_Human_2022_level2	Hippocampal_dentate_gyrus	16693	0.01578	0.033987	0.0085041	0.031766	0.571788	1
64_Siletti_Hippocampus.HiH.DG-CA4_Human_2022_level2	LAMP5_LHX6_and_Chandelier	16693	0.013347	0.027203	0.0090546	0.070245	1	1
