Dataset	Cell_type	MODEL	NGENES	BETA	BETA_STD	SE	P	CDM.BETA	CDM.BETA_STD	CDM.SE	CDM.P	CDM.ds	Marginal.P	PS	PS.avg
110_Siletti_Thalamus.LNC.VA_Human_2022_level2	Eccentric_medium_spiny_neuron	32	16459	0.025576	0.058958	0.010663	0.0082361	0.035102	0.080919	0.00917	6.4863e-05	61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	0.00017966	0.497678345655054	1.11812805293632
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	Medium_spiny_neuron	33	15679	0.028873	0.069302	0.010304	0.0025411	0.030925	0.074229	0.010171	0.0011834	336_Seeker2023_WhiteMatter_Human_2023_CSC_Young_level2	0.0003336	0.886605702095591	0.841834548459918
336_Seeker2023_WhiteMatter_Human_2023_CSC_Young_level2	glutamatergic_neuron	33	15679	0.016423	0.01552	0.013166	0.10613	0.022316	0.021088	0.013	0.043033	61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	0.00042378	0.713045669310859	0.405056409529377
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	Medium_spiny_neuron	34	15328	0.028124	0.067628	0.010352	0.0032998	0.030749	0.073942	0.010202	0.0012915	334_Seeker2023_WhiteMatter_Human_2023_CB_Young_level2	0.0003336	0.858980089492972	0.830915562633815
334_Seeker2023_WhiteMatter_Human_2023_CB_Young_level2	glutamatergic_neuron	34	15328	0.020545	0.017999	0.013733	0.067328	0.026871	0.023541	0.013537	0.023581	61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	0.00018676	0.720030159901966	0.436460626903539
61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	Medium_spiny_neuron	35	15117	0.025483	0.06133	0.010538	0.0078067	0.030762	0.074036	0.010127	0.0011939	332_Seeker2023_WhiteMatter_Human_2023_BA4_Young_level2	0.0003336	0.721009032794426	0.8407311154202
332_Seeker2023_WhiteMatter_Human_2023_BA4_Young_level2	glutamatergic_neuron	35	15117	0.01818	0.024514	0.010055	0.035306	0.024916	0.033597	0.0096628	0.0049654	61_Siletti_Hippocampus.HiH.CA1_Human_2022_level2	6.2304e-05	0.630261563495562	0.547866956968961
45_Siletti_CerebralNuclei.CEN_Human_2022_level2	Eccentric_medium_spiny_neuron	36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00012434	NA	NA
48_Siletti_CerebralNuclei.CMN_Human_2022_level2	Eccentric_medium_spiny_neuron	36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00015981	NA	NA
45_Siletti_CerebralNuclei.CEN_Human_2022_level2	Eccentric_medium_spiny_neuron	37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00012434	NA	NA
50_Siletti_CerebralNuclei.BLN.BL_Human_2022_level2	Eccentric_medium_spiny_neuron	37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00038421	NA	NA
45_Siletti_CerebralNuclei.CEN_Human_2022_level2	Eccentric_medium_spiny_neuron	38	NA	NA	NA	NA	NA	0.042434	0.093529	0.011496	0.000112	57_Siletti_CerebralNuclei.BLN.La_Human_2022_level2	0.00012434	NA	1.01162312864863
57_Siletti_CerebralNuclei.BLN.La_Human_2022_level2	Eccentric_medium_spiny_neuron	38	NA	NA	NA	NA	NA	0.042336	0.087077	0.011634	0.00013726	45_Siletti_CerebralNuclei.CEN_Human_2022_level2	0.00013582	NA	0.998815561039632
45_Siletti_CerebralNuclei.CEN_Human_2022_level2	Eccentric_medium_spiny_neuron	39	16869	0.012334	0.027166	0.016783	0.2312	0.039367	0.086706	0.010903	0.00015315	44_Siletti_CerebralNuclei.GP.Gpe_Human_2022_level2	0.00012434	0.166718657018315	0.976825321386354
44_Siletti_CerebralNuclei.GP.Gpe_Human_2022_level2	Eccentric_medium_spiny_neuron	39	16869	0.028624	0.065648	0.013511	0.017074	0.036173	0.082963	0.0087762	1.8899e-05	45_Siletti_CerebralNuclei.CEN_Human_2022_level2	3.1981e-05	0.374222891888834	1.05082263126238
45_Siletti_CerebralNuclei.CEN_Human_2022_level2	Eccentric_medium_spiny_neuron	40	16895	0.022005	0.048454	0.014074	0.058977	0.038836	0.085514	0.010968	0.0002001	46_Siletti_CerebralNuclei.SEP_Human_2022_level2	0.00012434	0.332359947275112	0.947089465772288
46_Siletti_CerebralNuclei.SEP_Human_2022_level2	Eccentric_medium_spiny_neuron	40	16895	0.022932	0.046904	0.012018	0.028192	0.034707	0.070989	0.0093653	0.00010566	45_Siletti_CerebralNuclei.CEN_Human_2022_level2	0.00010877	0.389798608588536	1.00317864291615
45_Siletti_CerebralNuclei.CEN_Human_2022_level2	Eccentric_medium_spiny_neuron	41	16805	0.019148	0.042201	0.014643	0.095507	0.037829	0.083373	0.010952	0.00027668	52_Siletti_CerebralNuclei.Pu_Human_2022_level2	0.00012434	0.286666223448912	0.911054470683502
52_Siletti_CerebralNuclei.Pu_Human_2022_level2	Eccentric_medium_spiny_neuron	41	16805	0.023146	0.05224	0.012045	0.027336	0.033602	0.075841	0.0090077	9.5935e-05	45_Siletti_CerebralNuclei.CEN_Human_2022_level2	0.000128	0.389063244608472	1.03217047125112
45_Siletti_CerebralNuclei.CEN_Human_2022_level2	Eccentric_medium_spiny_neuron	42	16781	0.024817	0.054709	0.014239	0.040683	0.04037	0.088994	0.01089	0.00010527	54_Siletti_CerebralNuclei.CaB_Human_2022_level2	0.00012434	0.349596159960249	1.01851447770278
54_Siletti_CerebralNuclei.CaB_Human_2022_level2	Eccentric_medium_spiny_neuron	42	16781	0.017696	0.040869	0.010438	0.045013	0.029417	0.067939	0.0079834	0.00011485	45_Siletti_CerebralNuclei.CEN_Human_2022_level2	0.00014695	0.341803760818687	1.02792677458667
45_Siletti_CerebralNuclei.CEN_Human_2022_level2	Eccentric_medium_spiny_neuron	43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00012434	NA	NA
47_Siletti_CerebralNuclei.Cla_Human_2022_level2	Eccentric_medium_spiny_neuron	43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.9263e-06	NA	NA
45_Siletti_CerebralNuclei.CEN_Human_2022_level2	Eccentric_medium_spiny_neuron	44	16849	0.014513	0.031972	0.021308	0.2479	0.039206	0.086368	0.011171	0.00022507	49_Siletti_CerebralNuclei.SI_Human_2022_level2	0.00012434	0.166057076418801	0.934012530156016
49_Siletti_CerebralNuclei.SI_Human_2022_level2	Eccentric_medium_spiny_neuron	44	16849	0.027135	0.058192	0.01994	0.086793	0.0387	0.082995	0.010453	0.00010725	45_Siletti_CerebralNuclei.CEN_Human_2022_level2	0.00011335	0.26741096790706	1.00608889767488
45_Siletti_CerebralNuclei.CEN_Human_2022_level2	Eccentric_medium_spiny_neuron	45	16873	0.031463	0.069295	0.011446	0.0029938	0.039669	0.087368	0.010895	0.00013629	15_Siletti_CerebralCortex.Ig_Human_2022_level2	0.00012434	0.652891917297426	0.989795350193171
15_Siletti_CerebralCortex.Ig_Human_2022_level2	Eccentric_medium_spiny_neuron	45	16873	0.009956	0.025898	0.0042609	0.0097363	0.01355	0.035246	0.0040562	0.00041917	45_Siletti_CerebralNuclei.CEN_Human_2022_level2	0.00034499	0.595570882246816	0.975569335987147
45_Siletti_CerebralNuclei.CEN_Human_2022_level2	Eccentric_medium_spiny_neuron	46	16720	0.029915	0.065987	0.014102	0.016958	0.040734	0.089851	0.010901	9.3511e-05	100_Siletti_Thalamus.LNC.VLN_Human_2022_level2	0.00012434	0.439455207857559	1.03168651249757
100_Siletti_Thalamus.LNC.VLN_Human_2022_level2	Eccentric_medium_spiny_neuron	46	16720	0.013202	0.023092	0.010919	0.11332	0.027897	0.048797	0.0084406	0.0004757	45_Siletti_CerebralNuclei.CEN_Human_2022_level2	0.00043816	0.284618794856226	0.989369708371095
45_Siletti_CerebralNuclei.CEN_Human_2022_level2	Eccentric_medium_spiny_neuron	47	16233	0.033882	0.075096	0.011917	0.0022369	0.039064	0.086582	0.011574	0.00036971	106_Siletti_Thalamus.LNC.LP.VPL_Human_2022_level2	0.00012434	0.772216271863187	0.87882120884809
106_Siletti_Thalamus.LNC.LP.VPL_Human_2022_level2	Thalamic_excitatory	47	16233	0.014202	0.034573	0.0077956	0.034249	0.019492	0.04745	0.0075721	0.0050277	45_Siletti_CerebralNuclei.CEN_Human_2022_level2	0.00021923	0.637489153862064	0.628195631214741
45_Siletti_CerebralNuclei.CEN_Human_2022_level2	Eccentric_medium_spiny_neuron	48	16458	0.017666	0.039067	0.019387	0.1811	0.039375	0.087078	0.010904	0.00015292	110_Siletti_Thalamus.LNC.VA_Human_2022_level2	0.00012434	0.194489478270127	0.976992452438526
110_Siletti_Thalamus.LNC.VA_Human_2022_level2	Eccentric_medium_spiny_neuron	48	16458	0.021654	0.049917	0.01599	0.08784	0.033701	0.077689	0.0089925	8.9577e-05	45_Siletti_CerebralNuclei.CEN_Human_2022_level2	0.00017966	0.260958239800721	1.0806970923994
