Dataset	Cell_type	MODEL	NGENES	BETA	BETA_STD	SE	P	Marginal.P	PS
DropViz_PC_level2	Neuron_Gad1Gad2-Chat_Synpr-Slc5a7.4_8	977	15085	0.019818	0.05527	0.007827	0.0056759	0.0048746	0.971412626789013
DropViz_PC_level2	Neuron_Sc17a7_Calb1-Lpl-Cadm2.2_8	977	15085	0.012932	0.03691	0.0058754	0.013876	0.011866	0.964708884834999
DropViz_PC_level2	Neuron_Gad1Gad2_Pvalb-Nefm.5_2	978	15085	0.021063	0.057495	0.0078014	0.0034715	0.0017772	0.894271641840455
DropViz_PC_level2	Neuron_Sc17a7_Calb1-Lpl-Cadm2.2_8	978	15085	0.011666	0.033297	0.0059042	0.024094	0.011866	0.840263147997363
DropViz_PC_level2	Neuron_Gad1Gad2_Pvalb-Cartpt.5_3	979	15085	0.020096	0.05527	0.0079705	0.0058515	0.0031923	0.894561520350035
DropViz_PC_level2	Neuron_Sc17a7_Calb1-Lpl-Cadm2.2_8	979	15085	0.01185	0.033821	0.0059014	0.022335	0.011866	0.857359800365761
DropViz_PC_level2	Neuron_Sc17a7_Rorb-BC006965.2_9	980	15085	0.033574	0.092703	0.011604	0.0019087	0.00013839	0.704673778806195
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Npnt.3_10	980	15085	0.010329	0.028842	0.0098847	0.14804	0.0073841	0.389182332262771
DropViz_PC_level2	Neuron_Sc17a7_Rorb-BC006965.2_9	981	15085	0.032235	0.089007	0.012145	0.0039799	0.00013839	0.621972782155238
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Dditl.3_2	981	15085	0.010735	0.030095	0.010142	0.14494	0.0034503	0.340683581212887
DropViz_PC_level2	Neuron_Sc17a7_Rorb-BC006965.2_9	982	15085	0.033008	0.09114	0.011881	0.0027373	0.00013839	0.664096175084823
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Tcerg1l.3_4	982	15085	0.011817	0.032711	0.011528	0.15268	0.0052267	0.357712206174353
DropViz_PC_level2	Neuron_Sc17a7_Rorb-BC006965.2_9	983	15085	0.033393	0.092204	0.011549	0.0019199	0.00013839	0.704015317014896
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Pvalb.3_9	983	15085	0.010698	0.029643	0.0095931	0.1324	0.006735	0.404350148955094
DropViz_PC_level2	Neuron_Sc17a7_Rorb-BC006965.2_9	984	15085	0.037139	0.10255	0.010606	0.00023202	0.00013839	0.941843274765381
DropViz_PC_level2	Neuron_Gad1Gad2-Chat_Synpr-Slc5a7.4_8	984	15085	0.01873	0.052235	0.0078344	0.0084144	0.0048746	0.897457650256233
DropViz_PC_level2	Neuron_Sc17a7_Rorb-BC006965.2_9	985	15085	0.035683	0.098525	0.010649	0.00040387	0.00013839	0.879463719527818
DropViz_PC_level2	Neuron_Gad1Gad2_Pvalb-Nefm.5_2	985	15085	0.019895	0.054304	0.0078018	0.0053912	0.0017772	0.824762571096203
DropViz_PC_level2	Neuron_Sc17a7_Rorb-BC006965.2_9	986	15085	0.035845	0.098975	0.010652	0.00038342	0.00013839	0.885311722607349
DropViz_PC_level2	Neuron_Gad1Gad2_Pvalb-Cartpt.5_3	986	15085	0.018773	0.051631	0.0079768	0.0093076	0.0031923	0.813800752605245
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Dditl.3_2	987	15085	0.017319	0.048553	0.010475	0.049152	0.0034503	0.531430843217158
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Npnt.3_10	987	15085	0.012546	0.035033	0.010686	0.1202	0.0073841	0.431624751740991
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Tcerg1l.3_4	988	15085	0.017189	0.047582	0.015323	0.13098	0.0052267	0.386890034956417
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Npnt.3_10	988	15085	0.010816	0.030202	0.013453	0.2107	0.0073841	0.317274800988861
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Pvalb.3_9	989	15085	0.012959	0.035907	0.013163	0.16245	0.006735	0.363445204162693
DropViz_PC_level2	Neuron_Slc17a7_Bcl6-Npnt.3_10	989	15085	0.012125	0.033857	0.013499	0.18455	0.0073841	0.344272230486554
DropViz_PC_level2	Neuron_Gad1Gad2-Chat_Synpr-Slc5a7.4_8	990	15085	0.019599	0.054659	0.0078291	0.0061574	0.0048746	0.956117774354824
