Dataset	Cell_type	NGENES	BETA	BETA_STD	SE	P	P.adj.pds	P.adj
DropViz_STR_level2	Oligodendrocyte_Trf_Il33.3_2	15085	-0.0012117	-0.0032012	0.0062826	0.57647	0.99998	0.930587285714286
DropViz_STR_level2	Oligodendrocyte_Trf_Ctps.3_3	15085	-0.0011003	-0.0029809	0.0053108	0.58206	0.99998	0.936934188034188
DropViz_STR_level2	Oligodendrocyte_Trf_Klk6.3_1	15085	-0.0014352	-0.0038708	0.0054245	0.60433	0.99998	0.961820985915493
DropViz_STR_level2	Polydendrocye_Tnr_Ctps.5_4	15085	-0.0016358	-0.0048992	0.0032798	0.69102	0.99998	1
DropViz_STR_level2	Polydendrocye_Tnr_Pdgfa.5_3	15085	-0.0028987	-0.0084251	0.004473	0.74152	0.99998	1
DropViz_STR_level2	Neuron_Slc17a7_Cplx3.13_7	15085	-0.0032201	-0.0096327	0.0047259	0.75218	0.99998	1
DropViz_STR_level2	Polydendrocye_Tnr_Cspg5.5_1	15085	-0.0042951	-0.011928	0.0059176	0.76602	0.99998	1
DropViz_STR_level2	Neurogenesis_Sox4_Stmn2.2_2	15085	-0.0033143	-0.0098618	0.0043214	0.77844	0.99998	1
DropViz_STR_level2	Polydendrocye_Tnr_Bmp4.5_2	15085	-0.0054561	-0.015914	0.0047931	0.8725	0.99998	1
DropViz_STR_level2	Neurogenesis_Sox4_Notum.2_6	15085	-0.0052779	-0.015934	0.0038723	0.91355	0.99998	1
DropViz_STR_level2	Neurogenesis_Sox4_Ung.2_1	15085	-0.0073792	-0.021152	0.0048601	0.93553	0.99998	1
DropViz_STR_level2	Mural_Rgs5Acta2_Col3a1.8_5	15085	-0.0047257	-0.014851	0.0029892	0.94304	0.99998	1
DropViz_STR_level2	Neurogenesis_Sox4_Hist1h2al.2_5	15085	-0.0080411	-0.022702	0.0048254	0.95217	0.99998	1
DropViz_STR_level2	Neurogenesis_Sox4_Stmn2-Csrp2.2_4	15085	-0.006858	-0.020463	0.0039852	0.95735	0.99998	1
DropViz_STR_level2	Astrocyte_Gja1_Notum.4_3	15085	-0.0092644	-0.02544	0.0050151	0.96764	0.99998	1
DropViz_STR_level2	Ependyma_Ccdc153_Ccdc153.1_1	15085	-0.0088954	-0.023322	0.0046153	0.97302	0.99998	1
DropViz_STR_level2	Neurogenesis_Sox4_Tuba1c.2_3	15085	-0.0089057	-0.025467	0.0045849	0.97394	0.99998	1
DropViz_STR_level2	Endothelial_Stalk_Flt1_Car4.7_1	15085	-0.0095442	-0.026054	0.0048449	0.97557	0.99998	1
DropViz_STR_level2	Astrocyte_Gja1_Sparc-Car2.4_2	15085	-0.011885	-0.031179	0.0057021	0.98142	0.99998	1
DropViz_STR_level2	Endothelial_Stalk_Flt1_Gkn3.7_2	15085	-0.0094065	-0.026097	0.0044992	0.98171	0.99998	1
DropViz_STR_level2	Endothelial_Tip_Dcn.9_1	15085	-0.011366	-0.031846	0.004781	0.99128	0.99998	1
DropViz_STR_level2	Mural_Rgs5Acta2_Cnn1.8_2	15085	-0.0089952	-0.026545	0.0035808	0.99399	0.99998	1
DropViz_STR_level2	Mural_Rgs5Acta2_Kcnj8.8_4	15085	-0.010248	-0.030803	0.0036578	0.99745	0.99998	1
DropViz_STR_level2	Astrocyte_Gja1_Htra1.4_1	15085	-0.016378	-0.042742	0.0057538	0.99779	0.99998	1
DropViz_STR_level2	Mural_Rgs5Acta2_Olfr558.8_1	15085	-0.013692	-0.039736	0.0039561	0.99973	0.99998	1
DropViz_STR_level2	Mural_Rgs5Acta2_Ccnd1.8_3	15085	-0.017207	-0.049699	0.0041256	0.99998	0.99998	1
DropViz_SN_level2	Neuron_Slc17a6.2_1	15085	0.025787	0.071989	0.0061852	1.5379e-05	0.000907361	0.000789921363636364
DropViz_SN_level2	Neuron_Gad1Gad2_Gad2.3_3	15085	0.029996	0.079764	0.0080654	0.00010035	0.0025999825	0.00269989285714286
DropViz_SN_level2	Neuron_Th_Aldh1a1.4_8	15085	0.023149	0.063767	0.0064731	0.00017494	0.0025999825	0.0031122671875
DropViz_SN_level2	Neuron_Th_Cbln1.4_2	15085	0.017724	0.05163	0.004959	0.00017627	0.0025999825	0.0031122671875
DropViz_SN_level2	Neuron_Slc17a6-Gad2-Th_Crhbp.3_7	15085	0.020121	0.056167	0.006377	0.00080359	0.0092571	0.007828075
DropViz_SN_level2	Neuron_Slc17a6_Nkx6-1.3_12	15085	0.02162	0.059002	0.0070199	0.0010375	0.0092571	0.00874906716417911
DropViz_SN_level2	Neuron_Slc17a6_Cacna2d1.3_10	15085	0.023615	0.06218	0.0077103	0.0010983	0.0092571	0.00911533333333333
DropViz_SN_level2	Neuron_Gad1Gad2_Sema3e.3_13	15085	0.020171	0.054282	0.0073103	0.0029	0.0201032666666667	0.0182055555555556
DropViz_SN_level2	Neuron_Slc17a6_C1ql2.3_15	15085	0.019581	0.052438	0.0071439	0.0030666	0.0201032666666667	0.0186304193548387
DropViz_SN_level2	Neuron_Slc17a6_Nts.3_9	15085	0.015398	0.043145	0.0059174	0.0046366	0.02735594	0.024256287037037
DropViz_SN_level2	Neuron_Gad1Gad2_Gad2-Kcnc3.3_16	15085	0.014902	0.041073	0.0058897	0.0057068	0.0279850615384615	0.028283701754386
DropViz_SN_level2	Neuron_Gad1Gad2_Ttn.3_14	15085	0.018249	0.049844	0.0072651	0.0060101	0.0279850615384615	0.0295278826086957
DropViz_SN_level2	Neuron_Gad1Gad2_Pax5.3_18	15085	0.017958	0.047988	0.0071752	0.0061662	0.0279850615384615	0.0299686623931624
DropViz_SN_level2	Neuron_Gad1Gad2_Tmem132c.3_19	15085	0.013833	0.038973	0.0055872	0.006651	0.0280292142857143	0.031315125
DropViz_SN_level2	Neuron_Th-Slc17a6-Lpl.4_1	15085	0.01502	0.041773	0.0061717	0.0074782	0.0294142533333333	0.0333166046511628
DropViz_SN_level2	Neuron_Slc17a6_Tcf4.3_6	15085	0.014358	0.039662	0.0063947	0.012384	0.045666	0.0492743661971831
DropViz_SN_level2	Neuron_Th_Vcan.4_5	15085	0.013698	0.038132	0.0062096	0.013704	0.0475609411764706	0.0529062925170068
DropViz_SN_level2	Neuron_Gad1Gad2_Sema3e-Kcng4.3_17	15085	0.010961	0.030832	0.0050853	0.015575	0.0510513888888889	0.057515522875817
DropViz_SN_level2	Neuron_Gad1Gad2_Ndnf.3_4	15085	0.0094735	0.027972	0.004959	0.028052	0.0871088421052632	0.0874477197802198
DropViz_SN_level2	Neuron_Gad1Gad2_Gad2-Fos.3_8	15085	0.0078476	0.02301	0.0048239	0.051898	0.1530991	0.142470072463768
DropViz_SN_level2	Neuron_Gad1Gad2_Rln3.3_5	15085	0.0065175	0.019766	0.0042459	0.062403	0.175322714285714	0.164683046511628
DropViz_SN_level2	Neuron_Th_Nefl.4_7	15085	0.008921	0.02473	0.006128	0.072739	0.188764086956522	0.186806977272727
DropViz_SN_level2	Neuron_Slc17a6_Shox2.3_11	15085	0.009186	0.025246	0.0063366	0.073586	0.188764086956522	0.188043198198198
DropViz_SN_level2	Neuron_Th_C1ql3.4_4	15085	0.0072715	0.020848	0.0053681	0.08779	0.215817083333333	0.211069574468085
DropViz_SN_level2	Neuron_Th_Grin2c.4_9	15085	0.0083566	0.022924	0.0065571	0.10126	0.2389736	0.238382916666667
DropViz_SN_level2	Neuron_Gad1Gad2_Nfib-Satb1.3_1	15085	0.0064597	0.018083	0.006095	0.14462	0.328176153846154	0.316334555984556
DropViz_SN_level2	Neuron_Slc17a7_C1ql3.1_1	15085	0.0040748	0.01238	0.0041033	0.16035	0.339545	0.344478136882129
DropViz_SN_level2	Neuron_Th_Cyp26b1.4_3	15085	0.0060618	0.016998	0.0061241	0.16114	0.339545	0.344864015151515
DropViz_SN_level2	Neuron_Gad1Gad2_Otx2-Chrna3.3_2	15085	0.004242	0.012445	0.0052468	0.20941	0.426041034482759	0.427334408602151
DropViz_SN_level2	Microglia_C1qb_Tmem119.9_2	15085	0.0018653	0.0057577	0.0026905	0.24407	0.480004333333333	0.475515689655172
DropViz_SN_level2	Polydendrocyte_Tnr_Bmp4.5_1	15085	0.0024185	0.0069758	0.0048029	0.30729	0.584842258064516	0.576806810631229
DropViz_SN_level2	Oligodendrocyte_Tfr_Ctps.10_5	15085	0.002386	0.0063272	0.0058008	0.34042	0.627649375	0.621846290322581
DropViz_SN_level2	Oligodendrocyte_Tfr_Plin3.10_2	15085	0.0017821	0.0047272	0.0056077	0.37533	0.671044545454545	0.671080537974683
DropViz_SN_level2	Oligodendrocyte_Tfr_Slco3a1.10_1	15085	0.0013876	0.0036338	0.006179	0.41116	0.713483529411765	0.720471207430341
DropViz_SN_level2	Oligodendrocyte_Tfr_Il33.10_4	15085	0.0010146	0.0026491	0.0062668	0.43569	0.734448857142857	0.752797706422018
DropViz_SN_level2	Oligodendrocyte_Tfr_Ndrg2.10_3	15085	0.00028574	0.00074959	0.0059998	0.48101	0.788321944444444	0.819436636636637
DropViz_SN_level2	Polydendrocyte_Tnr_Tmem2.5_2	15085	-0.00070892	-0.0019926	0.0049291	0.55718	0.888476216216216	0.907582132564841
DropViz_SN_level2	Macrophage_C1qb_Mrc1.9_1	15085	-0.00084564	-0.0024347	0.0038445	0.58705	0.911472368421053	0.939724645892351
DropViz_SN_level2	Neuron_Th_Cadm2.4_6	15085	-0.0012982	-0.0039638	0.0031261	0.66103	0.99999	1
DropViz_SN_level2	Ependyma_Ccdc153.8_1	15085	-0.0014424	-0.0044774	0.0029049	0.69023	0.99999	1
DropViz_SN_level2	Astrocyte_Gja1_Igfbp2.7_3	15085	-0.0019452	-0.0058108	0.0029553	0.74479	0.99999	1
DropViz_SN_level2	Oligodendrocyte_Tnr_Rps24.11_1	15085	-0.0035224	-0.0090172	0.0048902	0.76432	0.99999	1
DropViz_SN_level2	Polydendrocyte_Tnr_Cspg5.6_1	15085	-0.0025509	-0.0079533	0.0033232	0.77863	0.99999	1
DropViz_SN_level2	Endothelial_Stalk_Flt1_Gkn3.12_2	15085	-0.0044459	-0.013143	0.0037192	0.88402	0.99999	1
DropViz_SN_level2	Endothelial_Stalk_Flt1_Vwf.12_4	15085	-0.0065642	-0.018147	0.0044475	0.93001	0.99999	1
