Dataset	Cell_type	NGENES	BETA	BETA_STD	SE	P	P.adj.pds	P.adj
DropViz_FC_level2	Astrocyte_Gja1.8_1	15078	-0.0028046	-0.0072523	0.0058222	0.68499	1	1
DropViz_FC_level2	Mural_Rgs5Acta2_Cnn1.13_1	15078	-0.0022953	-0.006129	0.0047284	0.68631	1	1
DropViz_FC_level2	Polydendrocyte_Tnr_Cspg5.10_1	15078	-0.0035455	-0.0096876	0.0062205	0.71565	1	1
DropViz_FC_level2	Neuron_Slc17a7_Parm1_Nefm.7_6	15078	-0.0059114	-0.016105	0.009147	0.74094	1	1
DropViz_FC_level2	Oligodendrocyte_Tnf_Kif5b.9_3	15078	-0.0038473	-0.010158	0.0057907	0.74677	1	1
DropViz_FC_level2	Neuron_Slc17a6-Slc17a7_Fezf2_3110035E14Rik.4_2	15078	-0.0049735	-0.014138	0.007038	0.7601	1	1
DropViz_FC_level2	Mural_Rgs5Acta2_Ccnd1.13_2	15078	-0.0034498	-0.0092529	0.0047622	0.76559	1	1
DropViz_FC_level2	Neuron_Slc17a7_Nptxr-Drd1.6_6	15078	-0.0019716	-0.0061703	0.002696	0.7677	1	1
DropViz_FC_level2	Microglia_C1qb_Tmem119.11_1	15078	-0.0040249	-0.0106	0.0054317	0.77065	1	1
DropViz_FC_level2	Endothelial_Tip_Dcn_Dapl1.14_2	15078	-0.0030434	-0.0085834	0.0039716	0.77825	1	1
DropViz_FC_level2	Neuron_Slc17a7_Syt6-Sema3c.3_9	15078	-0.0076947	-0.021261	0.0090491	0.80242	1	1
DropViz_FC_level2	Neuron_Slc17a7-Slc17a6_Nptxr-Rorb.6_3	15078	-0.0084777	-0.023087	0.0095192	0.81342	1	1
DropViz_FC_level2	Neuron_Slc17a7_Syt6-Bdnf.3_11	15078	-0.0057823	-0.016745	0.0063407	0.81909	1	1
DropViz_FC_level2	Neuron_Slc17a7_Syt6-Sema5a.3_1	15078	-0.0087419	-0.023987	0.0094174	0.82336	1	1
DropViz_FC_level2	Neuron_Slc17a7_Syt6-Efna5.3_3	15078	-0.0087832	-0.024103	0.0094276	0.82423	1	1
DropViz_FC_level2	Neuron_Slc17a7_Syt6-Cyp26b1.3_4	15078	-0.0089616	-0.024697	0.009222	0.83441	1	1
DropViz_FC_level2	Neuron_Slc17a7_Nptxr-Calb1.6_1	15078	-0.0088615	-0.024087	0.0090819	0.83539	1	1
